2025-12-14 13:51:25,597 - INFO - risk_monitor - Connected ccxt exchange 'kraken' (id=kraken, 1405 markets)
2025-12-14 13:51:28,784 - INFO - risk_monitor - Connected ccxt exchange 'bitget_spot' (id=bitget, 1396 markets)
2025-12-14 13:51:31,775 - INFO - risk_monitor - Connected ccxt exchange 'bitget_futures' (id=bitget, 1396 markets)
2025-12-14 13:51:31,775 - INFO - risk_monitor - Building dynamic trading universe from exchange markets
2025-12-14 13:51:31,776 - INFO - risk_monitor - Capping symbols for kraken from 587 to 120
2025-12-14 20:48:09,241 - INFO - risk_monitor - Risk score 68.0 (TRADE_WITH_CAUTION) | spreads 97.8bps | volume $417028397 | latency kraken:944ms, bitget_spot:268ms, bitget_futures:271ms
2025-12-14 20:56:41,093 - INFO - risk_monitor - Risk score 68.0 (TRADE_WITH_CAUTION) | spreads 96.5bps | volume $418932652 | latency kraken:951ms, bitget_spot:263ms, bitget_futures:272ms
2025-12-14 21:05:15,483 - INFO - risk_monitor - Risk score 68.0 (TRADE_WITH_CAUTION) | spreads 100.0bps | volume $418384035 | latency kraken:936ms, bitget_spot:266ms, bitget_futures:276ms
2025-12-14 21:13:47,780 - INFO - risk_monitor - Risk score 68.0 (TRADE_WITH_CAUTION) | spreads 99.5bps | volume $423434250 | latency kraken:943ms, bitget_spot:274ms, bitget_futures:263ms
2025-12-14 21:22:20,824 - INFO - risk_monitor - Risk score 68.0 (TRADE_WITH_CAUTION) | spreads 98.2bps | volume $427591255 | latency kraken:936ms, bitget_spot:270ms, bitget_futures:270ms
2025-12-14 21:30:51,171 - INFO - risk_monitor - Risk score 69.0 (TRADE_WITH_CAUTION) | spreads 98.2bps | volume $427567888 | latency kraken:944ms, bitget_spot:265ms, bitget_futures:263ms
2025-12-14 21:39:22,391 - INFO - risk_monitor - Risk score 68.0 (TRADE_WITH_CAUTION) | spreads 100.3bps | volume $428690504 | latency kraken:951ms, bitget_spot:265ms, bitget_futures:264ms
2025-12-14 21:47:55,031 - INFO - risk_monitor - Risk score 67.0 (TRADE_WITH_CAUTION) | spreads 102.4bps | volume $427796480 | latency kraken:945ms, bitget_spot:264ms, bitget_futures:273ms
2025-12-14 21:56:24,505 - INFO - risk_monitor - Risk score 66.0 (TRADE_WITH_CAUTION) | spreads 100.4bps | volume $427291094 | latency kraken:948ms, bitget_spot:264ms, bitget_futures:260ms
2025-12-14 22:04:56,708 - INFO - risk_monitor - Risk score 65.0 (TRADE_WITH_CAUTION) | spreads 99.6bps | volume $427187039 | latency kraken:945ms, bitget_spot:264ms, bitget_futures:271ms
2025-12-14 22:13:26,201 - INFO - risk_monitor - Risk score 73.0 (TRADE) | spreads 96.2bps | volume $426347175 | latency kraken:948ms, bitget_spot:262ms, bitget_futures:263ms
2025-12-14 22:21:56,994 - INFO - risk_monitor - Risk score 73.0 (TRADE) | spreads 93.9bps | volume $426521995 | latency kraken:930ms, bitget_spot:264ms, bitget_futures:263ms
2025-12-14 22:30:27,845 - INFO - risk_monitor - Risk score 73.0 (TRADE) | spreads 98.0bps | volume $426041096 | latency kraken:933ms, bitget_spot:263ms, bitget_futures:268ms
2025-12-14 22:38:59,503 - INFO - risk_monitor - Risk score 71.0 (TRADE) | spreads 100.8bps | volume $422288111 | latency kraken:952ms, bitget_spot:270ms, bitget_futures:262ms
2025-12-14 22:47:33,365 - INFO - risk_monitor - Risk score 69.0 (TRADE_WITH_CAUTION) | spreads 99.0bps | volume $422936279 | latency kraken:946ms, bitget_spot:281ms, bitget_futures:261ms
2025-12-14 22:56:02,876 - INFO - risk_monitor - Risk score 71.0 (TRADE) | spreads 98.5bps | volume $423606457 | latency kraken:949ms, bitget_spot:257ms, bitget_futures:265ms
2025-12-14 23:04:31,930 - INFO - risk_monitor - Risk score 71.0 (TRADE) | spreads 102.8bps | volume $424703428 | latency kraken:942ms, bitget_spot:267ms, bitget_futures:255ms
2025-12-14 23:13:02,329 - INFO - risk_monitor - Risk score 71.0 (TRADE) | spreads 101.0bps | volume $429096087 | latency kraken:944ms, bitget_spot:261ms, bitget_futures:264ms
2025-12-14 23:21:29,306 - INFO - risk_monitor - Risk score 71.0 (TRADE) | spreads 158.5bps | volume $428303656 | latency kraken:946ms, bitget_spot:257ms, bitget_futures:257ms
2025-12-14 23:30:00,682 - INFO - risk_monitor - Risk score 73.0 (TRADE) | spreads 106.2bps | volume $428797321 | latency kraken:944ms, bitget_spot:263ms, bitget_futures:266ms
2025-12-14 23:38:31,338 - INFO - risk_monitor - Risk score 74.0 (TRADE) | spreads 107.7bps | volume $431850700 | latency kraken:940ms, bitget_spot:263ms, bitget_futures:267ms
2025-12-14 23:47:01,140 - INFO - risk_monitor - Risk score 72.0 (TRADE) | spreads 104.3bps | volume $433056877 | latency kraken:946ms, bitget_spot:260ms, bitget_futures:267ms
2025-12-14 23:55:30,725 - INFO - risk_monitor - Risk score 73.0 (TRADE) | spreads 118.0bps | volume $434332715 | latency kraken:945ms, bitget_spot:268ms, bitget_futures:255ms
2025-12-15 00:03:58,011 - INFO - risk_monitor - Risk score 72.0 (TRADE) | spreads 102.7bps | volume $437197003 | latency kraken:941ms, bitget_spot:257ms, bitget_futures:257ms
2025-12-15 00:12:26,347 - INFO - risk_monitor - Risk score 72.0 (TRADE) | spreads 104.6bps | volume $436398932 | latency kraken:946ms, bitget_spot:258ms, bitget_futures:261ms
2025-12-15 00:20:53,935 - INFO - risk_monitor - Risk score 70.0 (TRADE) | spreads 104.5bps | volume $437166661 | latency kraken:945ms, bitget_spot:260ms, bitget_futures:257ms
2025-12-15 00:29:21,539 - INFO - risk_monitor - Risk score 69.0 (TRADE_WITH_CAUTION) | spreads 98.6bps | volume $435770067 | latency kraken:948ms, bitget_spot:263ms, bitget_futures:256ms
2025-12-15 00:37:52,201 - INFO - risk_monitor - Risk score 72.0 (TRADE) | spreads 118.2bps | volume $454702047 | latency kraken:938ms, bitget_spot:256ms, bitget_futures:272ms
2025-12-15 00:46:20,984 - INFO - risk_monitor - Risk score 71.0 (TRADE) | spreads 95.2bps | volume $456791929 | latency kraken:948ms, bitget_spot:257ms, bitget_futures:262ms
2025-12-15 00:54:49,606 - INFO - risk_monitor - Risk score 72.0 (TRADE) | spreads 98.5bps | volume $458288501 | latency kraken:944ms, bitget_spot:261ms, bitget_futures:259ms
2025-12-15 01:03:17,936 - INFO - risk_monitor - Risk score 71.0 (TRADE) | spreads 102.3bps | volume $460931323 | latency kraken:942ms, bitget_spot:258ms, bitget_futures:261ms
